timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751800140,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800200,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751800980,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801040,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801100,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801160,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801220,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801280,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801340,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801400,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801460,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801520,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801580,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801640,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801700,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801760,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801820,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801880,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751801940,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802000,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802060,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802120,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802180,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751802960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
